Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDB03,OUT010,2887.4129810026393
FDN39,OUT045,3369.676037224761
FDX02,OUT027,5654.037285217387
FDQ16,OUT027,2880.4054543307075
FDU35,OUT018,1694.1995558080828
NCT29,OUT013,2170.505417155173
FDZ27,OUT046,1344.6559665236055
FDN57,OUT017,2170.505417155173
FDA03,OUT018,2170.505417155173
FDZ36,OUT045,3465.84214391891
NCU05,OUT013,1534.0741487664063
FDT39,OUT018,2170.505417155173
FDK60,OUT017,1731.9115259545667
FDZ25,OUT017,3382.2993830838423
FDG12,OUT046,2170.505417155173
DRB01,OUT019,2268.9653767195873
NCC43,OUT027,6014.784980392151
FDX13,OUT019,2396.475298039214
FDM22,OUT049,1344.6559665236055
FDJ03,OUT027,2410.4524967213097
FDU14,OUT018,3743.4188875000013
FDB33,OUT010,2170.505417155173
FDP27,OUT046,3369.676037224761
FDO38,OUT010,1322.9524676514018
FDE28,OUT027,5840.571415044253
FDO27,OUT035,1731.9115259545667
DRL23,OUT027,2880.4054543307075
FDS28,OUT046,1344.6559665236055
FDX24,OUT013,1614.3191216509742
FDZ02,OUT035,1731.9115259545667
FDL46,OUT045,2106.5235060489
FDS60,OUT027,5118.981376494423
NCO06,OUT017,1367.9724074074072
FDO16,OUT035,1534.0741487664063
FDC60,OUT049,1534.0741487664063
FDA48,OUT018,3354.5576251303514
FDZ36,OUT027,5270.670954761906
FDK27,OUT045,2158.283849114522
FDW23,OUT018,1228.5415206030152
FDM14,OUT018,1731.9115259545667
FDM14,OUT013,1731.9115259545667
FDW60,OUT018,3269.2779587048285
FDE21,OUT013,2158.283849114522
NCM42,OUT035,1731.9115259545667
FDY59,OUT010,1534.0741487664063
DRI49,OUT049,1534.0741487664063
FDT28,OUT019,2106.5235060489
FDQ22,OUT018,1228.5415206030152
FDR60,OUT049,1534.0741487664063
FDC50,OUT019,1421.1196686980604
FDV24,OUT013,2455.1216353351433
DRF48,OUT010,2830.86529269163
FDQ47,OUT046,1228.5415206030152
DRN36,OUT049,1731.9115259545667
NCY06,OUT035,2337.5346771653503
FDE52,OUT035,1534.0741487664063
NCB54,OUT045,2337.5346771653503
NCF31,OUT035,2674.8468521815066
FDJ08,OUT027,4773.838524222211
NCC07,OUT017,1731.9115259545667
NCD19,OUT027,2410.4524967213097
FDL46,OUT049,2106.5235060489
FDM20,OUT045,4271.638563027145
NCI06,OUT010,2455.1216353351433
DRM11,OUT035,5409.329331392204
NCH07,OUT018,2455.1216353351433
FDS23,OUT013,2170.505417155173
FDO49,OUT018,1228.5415206030152
FDS35,OUT049,1421.1196686980604
DRK39,OUT045,1534.0741487664063
DRI39,OUT049,1344.6559665236055
FDV04,OUT017,2877.3076156941515
NCN14,OUT035,3465.84214391891
FDH08,OUT013,4136.639809204343
FDS20,OUT046,3462.078176094264
FDV40,OUT049,1421.1196686980604
FDZ48,OUT010,1614.3191216509742
FDS24,OUT027,2556.221119638817
FDK44,OUT049,3369.676037224761
FDS48,OUT045,2455.1216353351433
FDK26,OUT010,2854.6408651641955
FDD23,OUT045,3667.372092705895
NCH54,OUT017,3369.676037224761
NCP14,OUT010,1534.0741487664063
FDM60,OUT010,1052.6176945454545
FDV24,OUT017,2674.8468521815066
FDH08,OUT018,3354.5576251303514
FDS12,OUT027,3758.4300852459055
FDR39,OUT027,4724.98861040581
FDP12,OUT027,2410.4524967213097
DRF60,OUT027,6014.784980392151
FDC09,OUT035,1731.9115259545667
FDF50,OUT018,3269.2779587048285
FDG28,OUT035,4271.638563027145
NCE19,OUT017,1367.9724074074072
NCM53,OUT010,1534.0741487664063
NCN18,OUT049,2085.3305214457823
FDF32,OUT035,3667.372092705895
FDF11,OUT013,5288.675986157371
DRI59,OUT049,3719.8763989784147
NCG54,OUT035,3369.676037224761
FDM44,OUT046,1731.9115259545667
FDT57,OUT018,3832.7725078608205
FDV24,OUT046,2455.1216353351433
FDI50,OUT019,2854.6408651641955
FDS09,OUT035,1344.6559665236055
NCC31,OUT027,4060.1668373289463
FDQ07,OUT019,2268.9653767195873
FDC22,OUT017,3667.372092705895
FDZ56,OUT046,3369.676037224761
FDZ40,OUT019,1052.6176945454545
FDS46,OUT027,3148.9417595419845
DRD24,OUT045,2337.5346771653503
FDV45,OUT017,3965.657086807132
FDL26,OUT045,2674.8468521815066
FDA56,OUT018,2158.283849114522
FDN27,OUT046,2158.283849114522
FDM20,OUT049,4198.7524090509
FDO16,OUT017,1534.0741487664063
FDL03,OUT035,3832.7725078608205
FDE58,OUT046,2106.5235060489
FDI02,OUT027,3148.9417595419845
NCC55,OUT019,1052.6176945454545
FDR03,OUT018,3354.5576251303514
FDB14,OUT017,1614.3191216509742
FDR45,OUT013,5288.675986157371
NCN07,OUT017,2337.5346771653503
FDM51,OUT019,1534.0741487664063
FDT52,OUT027,6014.784980392151
FDL26,OUT046,2556.221119638817
NCZ42,OUT046,4198.7524090509
DRI47,OUT019,2106.5235060489
FDW40,OUT013,2170.505417155173
FDN34,OUT046,3369.676037224761
FDS01,OUT035,3427.2921555053617
NCG55,OUT045,2106.5235060489
FDC11,OUT035,1534.0741487664063
FDX35,OUT018,3354.5576251303514
NCB06,OUT046,2918.504985931147
FDR09,OUT019,2268.9653767195873
FDC53,OUT017,1731.9115259545667
FDY45,OUT013,4271.638563027145
FDA22,OUT010,2170.505417155173
FDE02,OUT035,1731.9115259545667
FDW21,OUT045,1731.9115259545667
FDV34,OUT046,1421.1196686980604
FDS59,OUT049,1731.9115259545667
NCW17,OUT017,2337.5346771653503
NCK54,OUT046,2106.5235060489
FDG17,OUT019,2609.008114770312
FDG35,OUT017,3369.676037224761
FDD08,OUT010,1052.6176945454545
NCO07,OUT017,3719.8763989784147
FDJ10,OUT010,1731.9115259545667
FDW36,OUT017,1731.9115259545667
FDW21,OUT010,1534.0741487664063
FDY19,OUT017,2158.283849114522
DRE03,OUT013,1344.6559665236055
NCC55,OUT049,1367.9724074074072
FDH52,OUT010,1186.2355822441455
FDO09,OUT017,4270.767236082471
FDU43,OUT045,4271.638563027145
FDX09,OUT010,2395.718448918912
FDH40,OUT019,1344.6559665236055
FDW58,OUT017,1731.9115259545667
FDC47,OUT017,4119.010667103939
NCR41,OUT035,1731.9115259545667
DRG49,OUT035,4271.638563027145
FDC52,OUT027,3794.4971256038684
FDY13,OUT046,1421.1196686980604
FDY35,OUT013,1344.6559665236055
FDI35,OUT017,3667.372092705895
NCU18,OUT049,2337.5346771653503
FDY33,OUT018,2447.522865795206
FDC15,OUT027,4161.298998268386
FDU01,OUT049,3427.2921555053617
NCU42,OUT046,3369.676037224761
NCV29,OUT018,3269.2779587048285
NCY30,OUT017,3719.537445442168
FDQ46,OUT049,2170.505417155173
FDG58,OUT027,3980.6182247349802
FDK33,OUT017,4119.010667103939
NCD07,OUT045,2106.5235060489
NCX29,OUT027,3794.4971256038684
NCT42,OUT013,2556.221119638817
DRN59,OUT035,1344.6559665236055
FDI44,OUT035,1534.0741487664063
FDA45,OUT049,3427.2921555053617
FDP31,OUT045,1421.1196686980604
FDY01,OUT046,2158.283849114522
FDT09,OUT018,2106.5235060489
DRH03,OUT027,2877.3076156941515
FDA36,OUT018,3269.2779587048285
NCF31,OUT017,2674.8468521815066
FDG14,OUT049,2609.008114770312
FDG28,OUT027,6014.784980392151
FDU14,OUT049,4644.1872020820865
FDY47,OUT019,1731.9115259545667
FDI56,OUT049,1614.3191216509742
DRD01,OUT013,1344.6559665236055
FDM22,OUT046,1344.6559665236055
FDH33,OUT013,1228.5415206030152
DRZ24,OUT013,2106.5235060489
NCQ38,OUT046,1731.9115259545667
FDO16,OUT027,2556.221119638817
FDU07,OUT027,3980.6182247349802
NCB07,OUT013,3465.84214391891
FDU48,OUT045,2337.5346771653503
NCM43,OUT045,3382.2993830838423
FDR31,OUT010,2106.5235060489
DRK49,OUT018,1228.5415206030152
NCI30,OUT010,2887.4129810026393
DRD60,OUT017,3427.2921555053617
NCG19,OUT046,4119.010667103939
FDH12,OUT035,1731.9115259545667
FDM32,OUT035,1614.3191216509742
FDM27,OUT035,2674.8468521815066
NCU53,OUT027,4423.581727450982
NCQ18,OUT046,1731.9115259545667
FDS10,OUT013,3667.372092705895
FDB33,OUT027,4226.048243724696
FDI12,OUT013,1534.0741487664063
NCW42,OUT013,4119.010667103939
NCC06,OUT018,2158.283849114522
FDW02,OUT017,2337.5346771653503
NCD43,OUT017,1731.9115259545667
FDM57,OUT018,1421.1196686980604
FDA58,OUT017,4198.7524090509
FDK56,OUT046,3369.676037224761
FDP52,OUT045,3965.657086807132
FDW20,OUT018,2158.283849114522
FDS52,OUT049,1731.9115259545667
NCT29,OUT018,2106.5235060489
NCL54,OUT013,3369.676037224761
FDC05,OUT045,3427.2921555053617
FDF34,OUT035,4004.3782044744016
FDP03,OUT027,3758.4300852459055
FDD32,OUT010,1379.3044424521058
FDZ10,OUT045,2158.283849114522
FDZ40,OUT035,1344.6559665236055
FDD51,OUT018,1228.5415206030152
NCY30,OUT019,2455.1216353351433
FDP58,OUT017,3832.7725078608205
FDV49,OUT017,4619.051718753353
FDY24,OUT019,1052.6176945454545
NCO55,OUT017,1731.9115259545667
FDR13,OUT017,2158.283849114522
FDS51,OUT017,1344.6559665236055
FDP26,OUT045,1731.9115259545667
NCB54,OUT027,3758.4300852459055
FDF32,OUT017,3667.372092705895
FDN31,OUT018,3269.532070498075
DRM48,OUT017,1344.6559665236055
FDN20,OUT049,3369.676037224761
DRL01,OUT046,3832.7725078608205
FDV56,OUT049,1731.9115259545667
DRH13,OUT027,2880.4054543307075
FDA03,OUT017,2609.008114770312
FDF47,OUT027,5654.037285217387
FDX32,OUT046,2455.1216353351433
FDX57,OUT049,1731.9115259545667
NCA30,OUT045,3465.84214391891
FDO49,OUT013,1344.6559665236055
FDL04,OUT019,1534.0741487664063
DRM48,OUT035,1344.6559665236055
FDR16,OUT013,3427.2921555053617
NCC19,OUT018,3269.532070498075
NCE42,OUT045,4271.638563027145
FDY24,OUT017,1344.6559665236055
FDH19,OUT049,3427.2921555053617
FDJ46,OUT013,3427.2921555053617
FDN45,OUT010,2609.008114770312
FDY08,OUT035,2396.475298039214
FDZ37,OUT035,1534.0741487664063
NCT30,OUT045,1367.9724074074072
DRY23,OUT018,1228.5415206030152
NCZ30,OUT018,2106.5235060489
FDC44,OUT018,2106.5235060489
FDB45,OUT035,1731.9115259545667
FDY04,OUT013,3052.8852631015943
FDM27,OUT046,2825.8951546162325
FDZ43,OUT017,4271.638563027145
FDT39,OUT019,2106.5235060489
NCC06,OUT019,1731.9115259545667
FDL15,OUT027,3980.6182247349802
FDL57,OUT017,5391.00830739777
FDU08,OUT046,1731.9115259545667
FDK40,OUT017,4619.051718753353
FDQ12,OUT010,2887.4129810026393
FDS48,OUT017,2825.8951546162325
FDP09,OUT045,4119.010667103939
FDW21,OUT049,1731.9115259545667
FDY25,OUT035,3427.2921555053617
DRE13,OUT017,1534.0741487664063
FDV43,OUT019,1052.6176945454545
FDD22,OUT045,2158.283849114522
FDM46,OUT019,1379.3044424521058
NCO30,OUT010,3269.2779587048285
FDM25,OUT046,3354.5576251303514
NCN41,OUT049,2337.5346771653503
FDU24,OUT045,1614.3191216509742
FDZ50,OUT046,3427.2921555053617
FDP45,OUT013,5288.675986157371
NCM54,OUT045,2337.5346771653503
FDW10,OUT019,2395.718448918912
FDP20,OUT017,2337.5346771653503
FDK32,OUT046,2556.221119638817
FDN52,OUT049,1534.0741487664063
FDM58,OUT045,2085.3305214457823
FDZ46,OUT027,3148.9417595419845
NCA18,OUT018,2085.3305214457823
FDD35,OUT046,2337.5346771653503
NCK31,OUT035,1344.6559665236055
FDI40,OUT027,2852.885860504199
FDT50,OUT019,1534.0741487664063
NCT06,OUT046,3369.676037224761
FDT31,OUT035,3719.8763989784147
FDT45,OUT049,1344.6559665236055
FDT13,OUT045,3832.7725078608205
FDO50,OUT045,1614.3191216509742
NCU18,OUT010,1731.9115259545667
NCR54,OUT049,3571.4223195454533
NCO18,OUT018,3269.2779587048285
FDU09,OUT045,1344.6559665236055
FDT13,OUT018,3354.5576251303514
FDE09,OUT046,2158.283849114522
NCK53,OUT019,1534.0741487664063
FDG45,OUT049,3832.7725078608205
DRH15,OUT035,1344.6559665236055
FDO21,OUT019,2887.4129810026393
FDD14,OUT027,4724.98861040581
FDC09,OUT046,1731.9115259545667
FDH45,OUT027,2410.4524967213097
FDV32,OUT046,1421.1196686980604
FDG12,OUT035,2106.5235060489
FDS32,OUT013,2337.5346771653503
NCL55,OUT018,3667.372092705895
DRE01,OUT035,4198.7524090509
DRE15,OUT049,1534.0741487664063
NCL42,OUT045,4271.638563027145
FDP31,OUT013,1379.3044424521058
FDN33,OUT018,1534.0741487664063
FDZ59,OUT046,2854.6408651641955
FDE45,OUT010,2455.1216353351433
FDJ07,OUT013,2106.5235060489
FDQ45,OUT018,3667.372092705895
FDM33,OUT027,5633.574519655688
FDO15,OUT010,1344.6559665236055
FDM46,OUT013,1534.0741487664063
FDR03,OUT045,3667.372092705895
FDY49,OUT018,2830.86529269163
FDQ60,OUT045,2170.505417155173
FDW10,OUT049,3427.2921555053617
FDO51,OUT049,1344.6559665236055
FDJ40,OUT018,1694.1995558080828
FDS20,OUT018,3354.5576251303514
FDU45,OUT013,2158.283849114522
FDV02,OUT035,3369.676037224761
FDN09,OUT046,4299.837237401783
NCM55,OUT027,5270.670954761906
FDN23,OUT018,2170.505417155173
FDY31,OUT010,2106.5235060489
FDW03,OUT010,1534.0741487664063
FDD14,OUT046,3369.676037224761
FDV23,OUT017,2447.522865795206
DRI03,OUT045,3427.2921555053617
FDN13,OUT035,1731.9115259545667
FDF45,OUT027,2410.4524967213097
FDU46,OUT035,1534.0741487664063
FDB57,OUT049,4119.010667103939
FDV12,OUT049,1731.9115259545667
FDQ58,OUT013,2447.522865795206
NCA18,OUT017,2106.5235060489
FDH52,OUT049,1344.6559665236055
FDM24,OUT018,2170.505417155173
NCP43,OUT027,5118.981376494423
NCO18,OUT019,2455.1216353351433
FDM32,OUT017,1614.3191216509742
NCL07,OUT017,1344.6559665236055
FDK03,OUT013,5409.329331392204
FDP59,OUT017,1731.9115259545667
FDQ24,OUT049,4119.010667103939
FDQ16,OUT018,1694.1995558080828
FDU44,OUT013,2854.6408651641955
FDH28,OUT010,1052.6176945454545
FDV28,OUT019,1052.6176945454545
FDM22,OUT045,1344.6559665236055
FDR56,OUT046,3427.2921555053617
FDV39,OUT049,3427.2921555053617
FDU37,OUT019,1322.9524676514018
FDQ11,OUT010,2887.4129810026393
FDX02,OUT045,3965.657086807132
NCS42,OUT018,1534.0741487664063
FDY57,OUT027,2841.711117695476
FDB21,OUT049,4167.42720015058
FDE28,OUT017,3685.5710473819818
FDQ55,OUT017,2106.5235060489
FDA48,OUT049,3685.5710473819818
FDZ19,OUT045,3369.676037224761
NCC43,OUT045,4198.7524090509
NCV18,OUT046,1534.0741487664063
NCA42,OUT018,2455.1216353351433
FDY45,OUT046,4983.96437533193
NCC30,OUT045,3667.372092705895
FDM57,OUT013,1534.0741487664063
FDL09,OUT010,2106.5235060489
FDB09,OUT027,3758.4300852459055
FDT44,OUT035,2170.505417155173
NCT06,OUT027,4423.581727450982
FDX26,OUT049,3465.84214391891
FDK32,OUT013,2455.1216353351433
DRA12,OUT046,2337.5346771653503
FDO46,OUT010,3354.5576251303514
FDE52,OUT013,1534.0741487664063
NCH42,OUT045,4119.010667103939
FDV08,OUT035,1344.6559665236055
FDB47,OUT018,3462.078176094264
FDC28,OUT010,1614.3191216509742
FDD22,OUT046,2158.283849114522
FDS07,OUT027,3182.4304398692784
DRI13,OUT045,4119.010667103939
FDG32,OUT018,3354.5576251303514
FDU14,OUT017,4644.1872020820865
FDD28,OUT019,1052.6176945454545
NCP41,OUT017,1731.9115259545667
FDS08,OUT049,3427.2921555053617
FDX47,OUT045,2854.6408651641955
FDC53,OUT019,1534.0741487664063
FDQ19,OUT035,4198.7524090509
FDL14,OUT045,2674.8468521815066
FDM33,OUT019,2396.475298039214
FDA51,OUT045,2170.505417155173
FDZ27,OUT018,1228.5415206030152
FDT04,OUT046,1228.5415206030152
DRC13,OUT049,2337.5346771653503
FDR16,OUT027,5303.425224073295
FDQ03,OUT027,6014.784980392151
FDE38,OUT035,3369.676037224761
DRH23,OUT027,2410.4524967213097
FDT11,OUT019,2455.1216353351433
FDD09,OUT035,3583.9815896507234
FDR40,OUT045,1534.0741487664063
FDX07,OUT017,3719.8763989784147
FDR07,OUT035,1731.9115259545667
FDA51,OUT017,2170.505417155173
FDT59,OUT019,2854.6408651641955
FDF20,OUT017,3719.8763989784147
FDR13,OUT045,2158.283849114522
FDY26,OUT049,4119.010667103939
FDW04,OUT017,2337.5346771653503
FDK52,OUT017,4004.3782044744016
FDN60,OUT049,3052.8852631015943
FDM09,OUT019,2395.718448918912
FDP46,OUT049,1534.0741487664063
FDB50,OUT019,1322.9524676514018
NCQ29,OUT049,5303.425224073295
FDP16,OUT027,6014.784980392151
FDX33,OUT018,2447.522865795206
FDP07,OUT010,2918.504985931147
FDN22,OUT046,4119.010667103939
FDF39,OUT049,5458.019397960666
FDS21,OUT017,1186.2355822441455
NCM42,OUT013,1731.9115259545667
FDK50,OUT019,2170.505417155173
DRF13,OUT027,3980.6182247349802
FDH35,OUT018,2609.008114770312
FDP60,OUT018,1694.1995558080828
DRJ49,OUT027,3758.4300852459055
NCT42,OUT019,2106.5235060489
FDE38,OUT049,3369.676037224761
FDI04,OUT049,3667.372092705895
NCH54,OUT045,3052.8852631015943
FDT56,OUT049,1344.6559665236055
DRD15,OUT018,3354.5576251303514
FDV58,OUT013,3719.8763989784147
FDP21,OUT049,4004.3782044744016
FDH05,OUT013,3667.372092705895
FDR10,OUT027,4423.581727450982
NCP06,OUT045,2825.8951546162325
FDF33,OUT049,1731.9115259545667
DRK37,OUT013,3427.2921555053617
DRH49,OUT045,1534.0741487664063
FDT58,OUT013,3369.676037224761
FDD41,OUT018,1694.1995558080828
FDP40,OUT018,1731.9115259545667
FDM51,OUT027,2880.4054543307075
FDO45,OUT010,1379.3044424521058
FDW33,OUT010,1534.0741487664063
FDY24,OUT045,1344.6559665236055
FDB10,OUT010,2609.008114770312
FDM40,OUT035,2396.475298039214
NCI06,OUT017,3427.2921555053617
FDW12,OUT019,1731.9115259545667
FDX48,OUT027,3980.6182247349802
NCW05,OUT027,2852.885860504199
FDX27,OUT017,1731.9115259545667
DRM37,OUT045,3571.4223195454533
FDA38,OUT045,4983.96437533193
FDR36,OUT046,1228.5415206030152
FDZ45,OUT046,4119.010667103939
FDG05,OUT017,2877.3076156941515
FDK28,OUT013,5409.329331392204
FDV47,OUT045,1534.0741487664063
FDN21,OUT045,3369.676037224761
FDP20,OUT027,3758.4300852459055
FDI35,OUT045,3667.372092705895
DRY23,OUT013,1228.5415206030152
FDA56,OUT017,2170.505417155173
FDB09,OUT013,2170.505417155173
NCO26,OUT027,3182.4304398692784
FDQ49,OUT018,2170.505417155173
FDI52,OUT027,3354.9251012345662
FDZ44,OUT027,3182.4304398692784
FDZ09,OUT018,2447.522865795206
FDY03,OUT049,2158.283849114522
NCG42,OUT017,2337.5346771653503
DRI13,OUT027,5654.037285217387
FDQ32,OUT013,2170.505417155173
FDW16,OUT035,1614.3191216509742
FDU27,OUT046,1228.5415206030152
FDR28,OUT010,2395.718448918912
FDQ49,OUT010,2170.505417155173
FDS37,OUT046,2158.283849114522
FDW26,OUT018,3462.078176094264
FDX12,OUT018,3832.7725078608205
NCP06,OUT013,2556.221119638817
FDW45,OUT010,2085.3305214457823
NCN30,OUT049,1731.9115259545667
FDN24,OUT049,1344.6559665236055
NCL41,OUT027,2410.4524967213097
FDR02,OUT019,1538.389878346452
FDD09,OUT010,2830.86529269163
FDS33,OUT010,1379.3044424521058
FDU22,OUT045,2170.505417155173
FDI53,OUT013,2830.86529269163
DRH01,OUT049,3427.2921555053617
FDX32,OUT013,2170.505417155173
NCP30,OUT018,1228.5415206030152
FDB60,OUT045,3719.8763989784147
FDB14,OUT049,1614.3191216509742
NCP02,OUT035,1367.9724074074072
FDJ10,OUT017,2396.475298039214
FDG34,OUT046,2085.3305214457823
NCB18,OUT017,1534.0741487664063
FDM16,OUT049,1421.1196686980604
FDW25,OUT018,1421.1196686980604
FDB35,OUT010,1379.3044424521058
DRN11,OUT013,2447.522865795206
FDF41,OUT019,2268.9653767195873
FDH16,OUT045,1534.0741487664063
NCQ50,OUT018,3667.372092705895
DRH23,OUT018,1228.5415206030152
DRJ37,OUT013,2455.1216353351433
DRJ24,OUT027,4724.98861040581
FDY16,OUT035,3465.84214391891
FDQ27,OUT045,1731.9115259545667
FDZ33,OUT045,2674.8468521815066
FDF29,OUT045,2337.5346771653503
FDA08,OUT049,3369.676037224761
FDG31,OUT046,1421.1196686980604
FDE34,OUT019,2455.1216353351433
NCR30,OUT027,2410.4524967213097
FDV33,OUT035,5303.425224073295
DRZ24,OUT018,2106.5235060489
NCL54,OUT035,3369.676037224761
FDR12,OUT049,3427.2921555053617
NCC54,OUT046,4167.42720015058
DRN59,OUT013,1344.6559665236055
FDX50,OUT019,1614.3191216509742
FDV31,OUT027,4724.98861040581
NCA29,OUT027,4724.98861040581
FDW60,OUT049,3427.2921555053617
FDX08,OUT017,3667.372092705895
DRD49,OUT013,4119.010667103939
FDD33,OUT046,3610.43377152427
FDW35,OUT013,1344.6559665236055
FDJ36,OUT017,1731.9115259545667
FDV51,OUT035,3369.676037224761
FDW36,OUT046,1731.9115259545667
FDH35,OUT046,3269.2779587048285
NCS30,OUT027,3758.4300852459055
FDN49,OUT017,1344.6559665236055
FDL08,OUT018,3685.5710473819818
FDI09,OUT013,4167.42720015058
FDP19,OUT018,2170.505417155173
FDU21,OUT010,1052.6176945454545
NCP41,OUT045,1731.9115259545667
FDY10,OUT013,2106.5235060489
FDP12,OUT018,1228.5415206030152
NCN26,OUT049,2106.5235060489
FDK44,OUT013,3354.5576251303514
FDC28,OUT049,1731.9115259545667
FDJ41,OUT027,5840.571415044253
NCT29,OUT035,2337.5346771653503
NCH42,OUT019,2609.008114770312
FDU60,OUT018,2609.008114770312
FDS02,OUT045,3427.2921555053617
FDC51,OUT046,2170.505417155173
FDU03,OUT013,3427.2921555053617
FDX39,OUT045,4004.3782044744016
NCY05,OUT010,1052.6176945454545
NCL06,OUT027,6014.784980392151
FDD32,OUT035,1534.0741487664063
NCN41,OUT045,2337.5346771653503
NCX53,OUT049,2170.505417155173
FDU57,OUT019,1977.9716556390977
FDQ23,OUT046,1731.9115259545667
FDQ52,OUT045,4270.767236082471
FDC14,OUT045,1344.6559665236055
FDY09,OUT035,3719.8763989784147
FDQ28,OUT045,2674.8468521815066
FDV25,OUT046,3832.7725078608205
FDJ07,OUT035,2106.5235060489
DRB25,OUT049,1731.9115259545667
FDK52,OUT019,2268.9653767195873
FDY52,OUT027,2339.1851204678346
FDB28,OUT046,3427.2921555053617
FDT36,OUT035,1344.6559665236055
FDV25,OUT017,3832.7725078608205
NCN07,OUT027,3758.4300852459055
FDC57,OUT017,3667.372092705895
FDQ03,OUT018,3685.5710473819818
FDU23,OUT017,3369.676037224761
NCX41,OUT035,4119.010667103939
NCD06,OUT035,1367.9724074074072
FDW08,OUT045,1731.9115259545667
NCU29,OUT017,2455.1216353351433
NCE06,OUT013,2854.6408651641955
FDV52,OUT010,1731.9115259545667
FDB02,OUT017,3427.2921555053617
NCR18,OUT045,1367.9724074074072
FDK16,OUT049,1731.9115259545667
NCQ29,OUT010,2887.4129810026393
FDZ01,OUT019,1534.0741487664063
FDW27,OUT035,2854.6408651641955
FDD17,OUT018,3727.6665791855135
FDW39,OUT013,3369.676037224761
DRH59,OUT045,1421.1196686980604
FDS52,OUT013,1731.9115259545667
FDU40,OUT027,5409.329331392204
NCF54,OUT013,3369.676037224761
FDH46,OUT045,1731.9115259545667
NCP14,OUT049,1731.9115259545667
FDH50,OUT049,3427.2921555053617
DRF15,OUT010,2106.5235060489
FDV27,OUT027,2556.221119638817
NCJ06,OUT049,2158.283849114522
FDN02,OUT018,3354.5576251303514
FDQ51,OUT049,1344.6559665236055
FDQ07,OUT017,4004.3782044744016
FDS45,OUT049,1731.9115259545667
NCJ06,OUT045,2170.505417155173
FDD36,OUT035,2158.283849114522
FDY25,OUT045,3667.372092705895
FDU52,OUT046,2455.1216353351433
